ID,Make,Model,Price,Year,Odometer,Fuel type,Engine type,Color,Body,Transmission,Drive
16099870,Alfa Romeo,145,241,1997,250000,бензин,1600,серебристый,хэтчбек 3 дв.,Механика,Передний
16097362,Volkswagen,Passat,241,1984,321884,бензин,1800,бордовый,хэтчбек 5 дв.,Механика,Передний
16066044,Lada (ВАЗ),2105,241,1998,49000,бензин,1500,синий,седан,Механика,
15989592,Volvo,440,241,1990,252753,бензин,1700,серый,хэтчбек 5 дв.,Механика,Передний
15967806,Lada (ВАЗ),21099,241,1996,50000,бензин,1500,белый,седан,Механика,Передний
15820743,Renault,19,241,1991,0,бензин,1700,коричневый,седан,Механика,Передний
15719899,Lancia,Dedra,241,1990,300000,бензин,1800,синий,седан,Механика,Передний
14593774,ГАЗ,24,241,1974,111111,бензин,2400,черный,седан,Механика,Передний
14593754,ГАЗ,24,241,1983,111111,бензин,2400,серый,седан,Механика,Передний
15778373,Lada (ВАЗ),2101,244,1975,633,бензин,1300,другой,седан,Механика,Задний
15886083,Opel,Kadett,247,1987,45458,бензин,1281,синий,хэтчбек 5 дв.,Механика,Передний
16195964,Renault,Clio,250,1992,250000,бензин,1200,серебристый,хэтчбек 3 дв.,Механика,Передний
16193043,Audi,80,250,1982,229,дизель,1600,серебристый,седан,Механика,Передний
16191626,Ford,Escort,250,1998,312000,бензин,1800,черный,универсал,Механика,Передний
16190868,Mazda,626,250,1991,542000,бензин,2000,серебристый,хэтчбек 5 дв.,Механика,Передний
16190452,Fiat,Tempra,250,1994,5000000,бензин,14000,синий,седан,Механика,Передний
16188475,Citroen,ZX,250,1996,300000,бензин,1400,серый,хэтчбек 5 дв.,Механика,Передний
16184834,Renault,19,250,1994,999999,бензин,1800,красный,хэтчбек 5 дв.,Механика,Передний
16184658,Ford,Escort,250,1998,700000,бензин,1400,синий,хэтчбек 3 дв.,Механика,Передний
16181839,Lada (ВАЗ),2107,250,1988,280,бензин,1500,красный,седан,Механика,
16178086,Peugeot,309,250,1993,400000,дизель,1400,красный,хэтчбек 5 дв.,Механика,Передний
16176433,Ford,Escort,250,1992,300000,бензин,1600,серый,универсал,Механика,Передний
16175903,Fiat,Tempra,250,1993,84000,бензин,1600,синий,седан,Механика,Передний
16173784,ЗАЗ,1102 Таврия,250,1991,380,бензин,1100,коричневый,хэтчбек 3 дв.,Механика,Передний
16169125,Lada (ВАЗ),2105,250,1987,100000,бензин,1500,синий,седан,Механика,Задний
16167332,Lada (ВАЗ),2109,250,1990,50,бензин,1300,красный,хэтчбек 5 дв.,Механика,Передний
16166461,Lada (ВАЗ),2101,250,1986,186700,бензин,1200,красный,седан,Механика,Задний
16166406,Ford,Escort,250,1987,4000,бензин,1300,красный,хэтчбек 5 дв.,Механика,Передний
16164367,Opel,Omega,250,1987,10000,бензин,1800,серый,седан,Механика,
16164056,Ford,Escort,250,1995,2000,бензин,1400,зеленый,хэтчбек 5 дв.,Механика,Передний
16160062,Renault,19,250,1992,200000,бензин,1800,бордовый,хэтчбек 5 дв.,Механика,Передний
