ID,Make,Model,Price,Year,Odometer,Fuel type,Engine type,Color,Body,Transmission,Drive
14253155,Lada (ВАЗ),2104,170,1986,60971,бензин,1294,синий,универсал,Механика,Задний
16194783,Lada (ВАЗ),2102,175,1984,142000,бензин,1200,зеленый,универсал,Механика,Задний
15930321,Mazda,626,180,1990,205000,бензин,2000,красный,седан,Механика,Передний
15448283,Renault,19,184,1993,1,бензин,1390,красный,хэтчбек 5 дв.,Механика,
15625108,Audi,100,185,1987,395020,бензин,2309,синий,седан,Механика,Передний
15600238,Ford,Escort,185,1990,66841,бензин,1400,синий,хэтчбек 5 дв.,Механика,Передний
15890038,Renault,19,187,1993,363291,бензин,1721,серый,седан,Механика,Передний
14264609,Lada (ВАЗ),2106,188,1992,93081,бензин,1500,другой,седан,Механика,Задний
15976179,Renault,11,190,1983,250000,бензин,1400,синий,хэтчбек 5 дв.,Механика,Передний
16186292,Москвич,2140,193,1970,111111,бензин,1500,бордовый,седан,Механика,Задний
16185631,Москвич,2141,193,1990,50000,бензин,1480,синий,хэтчбек 5 дв.,Механика,
16182663,ЗАЗ,1102 Таврия,193,2005,120000,бензин,1200,белый,хэтчбек 3 дв.,Механика,Передний
16177110,Lada (ВАЗ),2106,193,1982,456,бензин,1300,желтый,седан,Механика,Задний
16095146,Volkswagen,Santana,193,1982,300000,бензин,1600,бордовый,седан,Механика,
16089807,Hyundai,Lantra,193,1995,300000,бензин,1500,зеленый,седан,Механика,Передний
15743577,Ford,Escort,193,1994,180300,бензин,1400,бордовый,хэтчбек 5 дв.,Механика,Передний
15628584,Mazda,626,198,1992,314654,бензин,2000,бордовый,седан,Механика,Передний
14515000,Peugeot,309,199,1991,250000,дизель,1900,белый,хэтчбек 5 дв.,Механика,Передний
16191314,Daewoo,Espero,200,1995,237000,бензин,2000,красный,седан,Автомат,Передний
16188650,Ford,Escort,200,1991,100000,бензин,1400,синий,хэтчбек 5 дв.,Механика,Передний
16182434,Renault,19,200,1994,280000,бензин,1800,серый,хэтчбек 3 дв.,Механика,Передний
16182112,Volvo,460,200,1990,200000,бензин,1530,красный,седан,Механика,
16180537,Audi,90,200,1985,300,бензин,2200,серебристый,седан,Механика,Передний
16175877,Renault,19,200,1992,314000,бензин,1700,синий,хэтчбек 3 дв.,Механика,Передний
16175567,Citroen,AX,200,1993,300000,бензин,1100,синий,хэтчбек 5 дв.,Механика,Передний
16166933,Эксклюзив,Редкая модель,200,1970,6000,бензин,2000,другой,купе,Механика,Передний
16166699,Opel,Vectra,200,1995,360000,бензин,1800,зеленый,седан,Механика,Передний
16164072,Audi,80,200,1986,400000,бензин,1600,белый,седан,Механика,Передний
16163490,Audi,80,200,1982,300,бензин,1800,красный,седан,Механика,Передний
16156056,Opel,Ascona,200,1985,100000,бензин,1600,желтый,седан,Механика,Передний
16154271,Lada (ВАЗ),2103,200,1984,200000,бензин,1300,красный,седан,Механика,Задний
16147218,Opel,Kadett,200,1984,350000,бензин,1300,красный,хэтчбек 5 дв.,Механика,Передний
16146046,Hyundai,Lantra,200,1992,250000,бензин,1500,другой,седан,Механика,
16140875,Lada (ВАЗ),2105,200,1990,250000,бензин,1500,синий,седан,Механика,Задний
16139445,Lada (ВАЗ),2108,200,1989,35000,бензин,1500,белый,хэтчбек 3 дв.,Механика,Передний
16133164,Ford,Fiesta,200,1991,300099,бензин,1100,красный,хэтчбек 3 дв.,Механика,Передний
16133032,Opel,Corsa,200,1995,300000,бензин,1400,синий,хэтчбек 3 дв.,Механика,Передний
16123093,Hyundai,Lantra,200,1993,267000,бензин,1500,красный,седан,Механика,Передний
16120878,Ford,Escort,200,1991,200000,бензин,1600,красный,хэтчбек 3 дв.,Механика,Передний
16120149,Volkswagen,Golf,200,1986,350000,бензин,1600,белый,хэтчбек 3 дв.,Механика,Передний
16113957,Kia,Pride,200,1998,230517,бензин,1300,зеленый,хэтчбек 5 дв.,Механика,Передний
16112492,ЗАЗ,1102 Таврия,200,1994,150000,бензин,1200,белый,хэтчбек 3 дв.,Механика,Передний
16108459,Skoda,Favorit,200,1993,256500,бензин,1300,белый,хэтчбек 5 дв.,Механика,Передний
16103368,Mitsubishi,Lancer,200,1989,388000,бензин,1500,белый,седан,Механика,Передний
